car	model	price	動力型式	引擎型式	排氣量	最大馬力	最大扭力	壓縮比	系統總合輸出	馬達出力	驅動型式	變速系統	前輪懸吊	後輪懸吊	煞車型式	輪胎尺碼	車身型式	車門數	座位數	車長	車寬	車高	車重	軸距	標準行李箱容量	後座傾倒行李箱容量	市區油耗	高速油耗	平均油耗	燃料費	牌照稅	油箱容量	主動轉向頭燈	後霧燈	前霧燈	LED尾燈	空力套件	LED頭燈	LED日行燈	車頂行李架	鐵圈	後視鏡方向指示燈	抗UV玻璃	HID氙氣頭燈	雙前座電熱椅	右前座電動腰靠調整	後座出風口	里程電腦	駕駛座電動調整	前座扶手	後座扶手	駕駛座電動腰靠調整	雙前座氣動按摩	右前座電動調整	粉塵過濾器	後座傾角調整	前座杯架	分區溫控	駕駛座位置記憶	右前座位置記憶	助手席調整按鈕	織布座椅	恆溫空調	電動天窗	後座折疊小桌	雙前座跑車座椅	換檔撥片	全景天窗	後座杯架	雙前座冷熱通風功能	方向盤快控鍵	方向盤電動調整	後座分離倒覆	後座前後滑移/傾角調整	AUX IN	8只揚聲器	6只揚聲器	9只揚聲器	中控螢幕	DVD主機	USB插槽	12只揚聲器	4只揚聲器	CD音響主機	11只揚聲器	藍牙通訊	10只揚聲器	MP3播放功能	CD播放功能	衛星導航	倒車影像輔助	光感應自動頭燈	定速巡航	電動窗/天窗防夾功能	HUD抬頭顯示器	電動側滑門	倒車圖像輔助	蜂鳴式倒車輔助系統	免鑰匙啟動車門鎖	電動尾門	手動後窗遮陽簾	雨滴感應雨刷	環景影像系統	後視鏡除霧	行車紀錄器	前方駐車雷達	自動停車系統	電動行李廂蓋	電動後擋遮陽簾	電動窗防夾功能	電動折疊後視鏡	智慧防盜座椅	ACC主動跟車系統	車道變換輔助系統	斜坡起步輔助	主動安全預防系統	胎壓監控	防鎖死煞車系統	後座側面氣囊	雙前座側面氣囊	電子煞車力道輔助系統	ISOFIX兒童安全椅固定	車道偏離警示系統	循跡防滑控制系統	全尺寸頭部氣簾	防盜系統	車道維持輔助系統	駕駛座膝部氣囊	遠光燈自動控制	陡坡緩降系統	煞車力道分配系統	雙前座正面氣囊	雙前座護頸頭枕	兒童安全鎖	預束式安全帶	AEB自動緊急煞車系統
mitsubishi-outlander-2020	典藏型	88.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	215/70R16	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.6km/ltr	16.1km/ltr	13.6km/ltr	6180元	11230元		X	X	X	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	X	O	X
	安全型	92.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	X	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	躍動型	97.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			四輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	215/70R16	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.64km/ltr	14.41km/ltr	12.7km/ltr	6180元	11230元		X	X	O	O	X	X	O	O	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	X	O	X
	安全型七人座	99.9	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	7人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	X	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	尊貴型	99.9	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	O	O	X	O	O	O	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	O	O	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	旗艦型	109.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			四輪驅動	CVT 6速手自排	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.64km/ltr	14.41km/ltr	12.7km/ltr	6180元	11230元		X	X	O	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	X	X	X	O	X	O	O	X	X	X	X	O	O	X	X	O	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	O	X	X	X	O	O	O	X	O	X	X	X	X	X	X	X	X	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	尊貴型七人座	110.9	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	7人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	O	O	X	O	O	O	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	O	O	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
kia-carens-2020	CRDi 柴油科技版	87.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1685cc	141.4hp@4000rpm	34.7kgm@1750~2500rpm	17			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	205/55R16	跨界休旅車,廂型休旅車	5門	5人座	4525mm	1805mm	1610mm	1549kg	2750mm	536ltr		15.05km/ltr	19.06km/ltr	17.4km/ltr	2880元	7120元	58ltr	X	O	O	X	X	X	O	O	X	X	X	X	X	X	O	O	X	O	X	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	O	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	CRDi 柴油旗艦版	97.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1685cc	141.4hp@4000rpm	34.7kgm@1750~2500rpm	17			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	205/55R16	跨界休旅車,廂型休旅車	5門	5人座	4525mm	1805mm	1610mm	1587kg	2750mm	536ltr		15.05km/ltr	19.06km/ltr	17.4km/ltr	2880元	7120元	58ltr	X	O	O	O	X	X	O	O	X	O	X	O	X	X	O	O	X	O	X	X	X	X	O	X	O	O	X	X	X	X	O	X	O	X	X	O	O	X	O	X	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	O	X	O	O	X	X	X	X	O	O	X	X	O	X	X	X	O	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	CRDi 柴油旗艦版(七人座客車)	108.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1685cc	141.4hp@4000rpm	34.7kgm@1750~2500rpm	17			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	205/55R16	跨界休旅車,廂型休旅車	5門	7人座	4525mm	1805mm	1610mm	1627kg	2750mm	536ltr		14.64km/ltr	19.24km/ltr	17.2km/ltr	2880元	7120元	58ltr	X	O	O	O	X	X	O	O	X	O	X	O	X	X	O	O	X	O	X	X	X	X	O	X	O	O	X	X	X	X	O	X	O	X	X	O	O	X	O	X	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	O	X	O	O	X	X	X	X	O	O	X	X	O	X	X	X	O	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
peugeot-5008-suv-2020	1.6 PureTech Allure	159.8	汽油	渦輪增壓, 直列4缸 DOHC單凸輪軸, 16氣門	1598cc	180hp@5500rpm	25.5kgm@1650rpm	10.5			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	7人座	4641mm	1906mm	1644mm	1546kg	2840mm	780ltr	1940ltr	11.89km/ltr	17.09km/ltr	14.7km/ltr	4800元	7120元	56ltr	X	O	O	O	X	X	O	O	X	X	O	X	O	O	O	O	O	O	O	O	X	X	X	X	O	O	O	X	X	X	O	X	X	X	O	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	X	X	O	X	O	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	1.6 PureTech GT Line	169.8	汽油	渦輪增壓, 直列4缸 DOHC單凸輪軸, 16氣門	1598cc	180hp@5500rpm	25.5kgm@1650rpm	10.5			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	7人座	4641mm	1906mm	1644mm	1546kg	2840mm	780ltr	1940ltr	11.89km/ltr	17.09km/ltr	14.7km/ltr	4800元	7120元	56ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	O	X	O	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	O	X	O	O	O	O	O	O	X	O	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	GT	184.8	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1997cc	177hp@3750rpm	40.75kgm@2000rpm	16.7			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	235/50R19	運動休旅車	5門	7人座	4641mm	1906mm	1646mm	1726kg	2840mm	780ltr	1940ltr	13.85km/ltr	20.13km/ltr	17.3km/ltr	3708元	11230元	56ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	O	X	O	X	O	X	O	X	O	O	X	X	X	X	O	X	O	X	X	X	X	O	O	O	X	X	O	O	O	X	O	X	O	O	O	O	O	O	O	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	GT Grip Control	184.8	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1997cc	177hp@3750rpm	40.75kgm@2000rpm	16.7			前輪驅動	8速手自排	麥花臣	半拖曳臂	前後碟煞	225/55R18	運動休旅車	5門	7人座	4641mm	1906mm	1646mm	1726kg	2840mm	780ltr	1940ltr	13.85km/ltr	20.13km/ltr	17.3km/ltr	3708元	11230元	56ltr	X	O	O	O	O	O	O	O	X	X	O	X	O	O	O	O	O	O	O	O	O	X	X	X	O	O	O	X	X	X	O	X	O	X	O	X	O	X	O	X	O	O	X	X	X	X	O	X	O	X	X	X	X	O	O	O	X	X	O	O	O	X	O	X	O	O	O	O	O	O	O	O	X	O	O	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
kia-sportage-2020	御尊版	113.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1995cc	185hp@4000rpm	41kgm@1750~2750rpm	16			前輪驅動	8速手自排	麥花臣	多連桿	前後碟煞	225/60R17	運動休旅車	5門	5人座	4485mm	1855mm	1655mm	1610kg	2670mm	491ltr	1480ltr	11.33km/ltr	18.88km/ltr	15.2km/ltr	3708元	11230元	62ltr	X	O	O	X	X	X	X	O	X	O	X	X	X	X	O	O	X	O	X	O	X	X	O	O	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
	GT Line 2WD	127.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1995cc	185hp@4000rpm	41kgm@1750~2750rpm	16			前輪驅動	8速手自排	麥花臣	多連桿	前後碟煞	245/45R19	運動休旅車	5門	5人座	4485mm	1855mm	1655mm	1684kg	2670mm	491ltr	1480ltr	11.06km/ltr	18.64km/ltr	14.9km/ltr	3708元	11230元	62ltr	X	O	O	O	X	O	O	O	X	O	X	X	X	X	O	O	O	O	X	O	X	O	O	O	O	O	X	X	X	X	O	X	X	X	O	O	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	O	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
	GT Line AWD	136.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1995cc	185hp@4000rpm	41kgm@1750~2750rpm	16			四輪驅動	8速手自排	麥花臣	多連桿	前後碟煞	245/45R19	運動休旅車	5門	5人座	4485mm	1855mm	1655mm	1744kg	2670mm	491ltr	1480ltr	10.52km/ltr	17.38km/ltr	14km/ltr	3708元	11230元	62ltr	X	O	O	O	X	O	O	O	X	O	X	X	X	X	O	O	O	O	X	O	X	O	O	O	O	O	X	X	X	X	O	X	X	X	O	O	O	X	O	X	O	X	X	X	O	X	O	X	O	X	X	X	X	O	X	O	X	X	O	O	O	X	X	X	O	O	O	O	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	O	O	O	X	O	O	O
toyota-camry-2020	2.0雅緻	84.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	1998cc	167hp@6500rpm	20.3kgm/4600rpm	12.7			前輪驅動	6速手自排	麥花臣	麥花臣	前後碟煞	215/60R16	轎車	4門	5人座	4850mm	1825mm	1470mm	1465kg	2775mm			10.08km/ltr	17.52km/ltr	13.7km/ltr	6180元	11230元	70ltr	X	O	O	O	X	X	O	X	X	O	X	X	X	X	O	O	X	O	O	X	X	X	X	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	X	O	X	X	X	X	X	O	X	O	O	X	X	X	O	X	X	X	X	X	X	X	X	X	O	X	X	X	X	X	O	X	X	X	X	X	O	O	X	X	X	X	X	O	O	X	X	O	O	X	X	X	O	X	X	X	X	O	O	O	O	O	X
	2.5豪華	106.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2494cc	181hp	23.6kgm	10.4			前輪驅動	6速手自排	麥花臣	雙A臂	前後碟煞	215/55R17	轎車	4門	5人座	4885mm	1840mm	1445mm	1500kg	2825mm	620ltr		8.92km/ltr	16.38km/ltr	12.5km/ltr	7200元	15210元	60ltr	X	O	O	O	X	O	O	X	X	O	X	X	X	X	O	O	O	O	O	O	X	O	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	X	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	X	O	O	O	X	X	X	O	O	O	X	X	O	X	X	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	O	X	O	O	X	O	O	X
	2.5 Hybrid尊爵	117.9	油電混合	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2487cc	178hp@5700rom	22.5kgm@3600~5200rpm	14	218hp	120hp/20.6kgm	前輪驅動	CVT無段變速	麥花臣	雙A臂	前後碟煞	215/55R17	轎車	4門	5人座	4885mm	1840mm	1445mm	1650kg	2825mm	620ltr		62km/ltr	16.78km/ltr	22.9km/ltr	7200元	15210元	50ltr	X	O	O	O	X	O	O	X	X	O	X	X	X	X	O	O	O	O	O	O	X	O	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	X	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	X	O	O	O	X	O	X	O	O	O	X	X	O	X	X	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	O	X	O	O	X	O	O	X
	2.5 Hybrid旗艦	139.9	油電混合	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2487cc	178hp@5700rpm	22.5kgm@3600~5200rpm	14	218hp	120hp/20.6kgm	前輪驅動	CVT無段變速	麥花臣	雙A臂	前後碟煞	235/45R18	轎車	4門	5人座	4885mm	1840mm	1445mm	1650kg	2825mm	620ltr		43.94km/ltr	16.88km/ltr	21.9km/ltr	7200元	15210元	50ltr	X	O	O	O	X	O	O	X	X	O	X	X	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	X	X	O	X	X	X	X	O	O	O	O	O	O	X	O	X	X	O	O	O	O	X	X	X	X	O	X	O	O	O	O	O	O	X	O	X	O	O	O	X	O	O	X	X	X	O	X	X	O	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	O	O	X	O	O	X	O	O	X
mazda-cx-9-2020	2WD旗艦型	173.9	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	2488cc	230hp@5000rpm	42.8kgm@2000rpm	10.5			前輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	255/50R20	運動休旅車	5門	7人座	5075mm	1969mm	1747mm	1899kg	2930mm	230ltr	810ltr			11.5km/ltr	7200元	15210元	72ltr	X	O	O	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	O	X	O	O	X	O	O	O	X	X	X	O	X	X	X	X	X	O	O	O	X	O	O	O	X	X	X	O	X	O	O	X	X	X	O	X	O	X	O	O	O	O	X	O	X	X	O	O	O	O	O	O	X	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
	AWD旗艦進化型	188.5	汽油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	2488cc	230hp@5000rpm	42.8kgm@2000rpm	10.5			四輪驅動	6速手自排	麥花臣	多連桿	前後碟煞	255/50R20	運動休旅車	5門	7人座	5075mm	1969mm	1747mm	1993kg	2930mm	230ltr	810ltr			10.7km/ltr	7200元	15210元	74ltr	X	O	O	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	O	X	O	O	X	O	O	O	X	X	X	O	O	X	X	X	X	O	O	O	X	O	O	O	X	X	X	O	X	O	O	X	X	X	O	X	O	X	O	O	O	O	X	O	X	X	O	O	O	O	O	O	X	X	O	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	O	X	O	O	X	O	O	O
honda-odyssey-2020	2.4 Elite七人座	144.9	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2356cc	175hp@6200rpm	23.0kgm@4000rpm	10.1			前輪驅動	CVT 7速手自排	麥花臣	H型扭力桿	前後碟煞	215/55R17	廂型休旅車	5門	7人座	4830mm	1820mm	1695mm	1812kg	2900mm			10.47km/ltr	14.93km/ltr	12.9km/ltr	6180元	11230元	55ltr	X	O	O	O	O	X	O	X	X	O	X	X	X	X	O	O	O	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	O	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	X	X	O	X	X	O	X	X	X	X	X	X	X	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	X	O	X
	2.4 Apex八人座	167.8	汽油	自然進氣, 直列4缸, DOHC雙凸輪軸, 16氣門	2356cc	175hp@6200rpm	23.0kgm@4000rpm	10.1			前輪驅動	CVT 7速手自排	麥花臣	H型扭力桿	前後碟煞	215/55R17	廂型休旅車	5門	8人座	4840mm	1820mm	1695mm	1800kg	2900mm			10.47km/ltr	14.93km/ltr	12.9km/ltr	6180元	11230元	55ltr	O	O	O	O	O	O	O	X	X	O	X	X	X	X	O	O	O	O	X	X	X	X	O	X	O	O	X	X	X	X	O	O	X	X	O	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	O	O	O	O	X	O	O	O	O	X	O	X	O	X	X	O	O	X	X	X	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	O	X	X	X	O	O	X	X	O	O
